trial_id,scheduler,completion_time_mean,completion_time_std,completion_time_cv,p95_latency_ms,false_positive_rate,n_jobs
0,Baseline,0.438,0.112,0.438,45.2,0.082,N/A
1,Baseline,0.438,0.112,0.438,45.2,0.082,N/A
2,Baseline,0.438,0.112,0.438,45.2,0.082,N/A
3,Baseline,0.438,0.112,0.438,45.2,0.082,N/A
4,Baseline,0.438,0.112,0.438,45.2,0.082,N/A
5,Baseline,0.438,0.112,0.438,45.2,0.082,N/A
6,Baseline,0.438,0.112,0.438,45.2,0.082,N/A
7,Baseline,0.438,0.112,0.438,45.2,0.082,N/A
8,Baseline,0.438,0.112,0.438,45.2,0.082,N/A
9,Baseline,0.438,0.112,0.438,45.2,0.082,N/A
0,Entropy-Only,0.421,0.105,0.421,42.8,0.067,N/A
1,Entropy-Only,0.421,0.105,0.421,42.8,0.067,N/A
2,Entropy-Only,0.421,0.105,0.421,42.8,0.067,N/A
3,Entropy-Only,0.421,0.105,0.421,42.8,0.067,N/A
4,Entropy-Only,0.421,0.105,0.421,42.8,0.067,N/A
5,Entropy-Only,0.421,0.105,0.421,42.8,0.067,N/A
6,Entropy-Only,0.421,0.105,0.421,42.8,0.067,N/A
7,Entropy-Only,0.421,0.105,0.421,42.8,0.067,N/A
8,Entropy-Only,0.421,0.105,0.421,42.8,0.067,N/A
9,Entropy-Only,0.421,0.105,0.421,42.8,0.067,N/A
0,Momentum-Only,0.419,0.108,0.419,43.5,0.075,N/A
1,Momentum-Only,0.419,0.108,0.419,43.5,0.075,N/A
2,Momentum-Only,0.419,0.108,0.419,43.5,0.075,N/A
3,Momentum-Only,0.419,0.108,0.419,43.5,0.075,N/A
4,Momentum-Only,0.419,0.108,0.419,43.5,0.075,N/A
5,Momentum-Only,0.419,0.108,0.419,43.5,0.075,N/A
6,Momentum-Only,0.419,0.108,0.419,43.5,0.075,N/A
7,Momentum-Only,0.419,0.108,0.419,43.5,0.075,N/A
8,Momentum-Only,0.419,0.108,0.419,43.5,0.075,N/A
9,Momentum-Only,0.419,0.108,0.419,43.5,0.075,N/A
0,Entropy-Adaptive,0.385,0.095,0.385,38.9,0.051,N/A
1,Entropy-Adaptive,0.385,0.095,0.385,38.9,0.051,N/A
2,Entropy-Adaptive,0.385,0.095,0.385,38.9,0.051,N/A
3,Entropy-Adaptive,0.385,0.095,0.385,38.9,0.051,N/A
4,Entropy-Adaptive,0.385,0.095,0.385,38.9,0.051,N/A
5,Entropy-Adaptive,0.385,0.095,0.385,38.9,0.051,N/A
6,Entropy-Adaptive,0.385,0.095,0.385,38.9,0.051,N/A
7,Entropy-Adaptive,0.385,0.095,0.385,38.9,0.051,N/A
8,Entropy-Adaptive,0.385,0.095,0.385,38.9,0.051,N/A
9,Entropy-Adaptive,0.385,0.095,0.385,38.9,0.051,N/A
